,x,y,z,labels
133,20.246311,80.038345,59.224808,56
134,-53.094704,3.94161,-50.538723,6
135,-82.71068,3.6449192,-18.828274,57
136,25.815826,22.358814,-88.270226,15
137,36.970898,-34.747967,-50.258743,58
138,75.265144,16.170826,35.128735,39
139,-7.368937,-0.21021546,27.735634,59
140,-46.781292,48.365463,-10.690253,19
141,-0.0097060455,42.43542,45.932175,32
142,-19.812737,-16.05098,-40.866684,22
143,78.13888,14.123926,-7.230522,45
144,3.2083712,20.989244,62.784546,-1
145,-69.991714,-38.013203,-18.45948,36
146,64.3241,4.246087,-1.8362901,1
147,-36.635983,51.741375,-20.623081,19
148,1.3459878,-56.930946,18.237503,27
149,27.169958,23.874498,20.945312,-1
150,8.2565,-48.97115,10.411197,27
151,-29.35313,-45.946037,37.426327,60
152,67.594124,-1.6704394,25.583267,21
153,4.7219124,49.77528,55.83508,32
154,71.370186,-10.58829,53.97893,61
155,-18.876339,-39.399082,-23.058905,-1
156,10.115381,36.098778,14.866705,97
157,-9.033998,-99.29777,-14.935829,44
158,14.204048,88.50847,-16.443384,62
159,-25.728506,-5.327953,48.6701,63
160,60.1458,28.594501,11.13539,77
161,-48.00635,-47.440125,-46.142723,26
162,-61.075996,-29.157219,13.77167,64
163,-30.862429,30.792585,77.74027,86
164,-54.26925,-9.377351,50.18628,-1
165,-21.424706,16.547684,-27.641993,65
166,35.011936,-93.438034,12.546373,46
167,16.265486,21.100405,-96.43521,15
168,85.33659,21.083656,33.135876,39
169,62.763294,-16.768362,4.7033277,-1
170,-53.26364,-25.12187,8.038692,64
171,-12.855073,-50.769962,-26.013708,66
172,-33.99605,32.44082,57.363297,67
173,79.09693,-45.34105,-5.307648,68
174,50.942474,-27.392275,-14.166771,69
175,-3.883989,63.12478,-61.264713,52
176,-17.848312,21.741888,-47.009907,-1
177,80.05995,6.088496,23.174377,39
178,-19.99514,-63.772854,71.47212,53
179,39.3691,-17.13369,12.372226,47
180,7.1919093,88.83641,-13.313912,62
181,-25.980556,-22.304626,-36.856754,22
182,81.61145,-9.416946,-32.747757,70
183,26.095207,-53.36361,-36.477707,49
184,-74.47229,28.025875,1.2397401,7
185,-49.767975,43.89251,-24.25968,19
186,39.53064,27.15866,-59.92474,55
187,-42.954838,-15.805843,59.24833,63
188,-8.056023,81.70237,14.199181,9
189,-42.943253,-0.3646587,5.998268,71
190,-24.828474,-53.7682,-31.048834,66
191,74.324745,50.40754,4.875236,72
192,-17.08343,34.345104,-51.37504,-1
193,24.178097,55.96911,-43.748894,25
194,-23.72987,10.726082,94.120476,86
195,-71.08546,1.3272152,60.603252,4
196,28.307108,-12.018904,45.22036,73
197,-46.540356,0.17806563,2.821998,71
198,-28.054298,-29.350956,-20.530396,101
199,15.346049,39.83337,46.39683,32
200,21.459446,-56.868565,-10.953239,27
201,-37.0668,38.684303,-63.218067,18
202,-63.676266,55.409054,-25.548117,-1
203,87.649796,-9.3319435,16.846651,120
204,-21.515066,68.99093,52.332912,-1
205,-100.01189,-2.5354857,14.858258,3
206,6.8423085,-62.502186,-41.1928,-1
207,-1.9820191,-31.915764,-80.13679,74
208,5.040111,11.262302,43.34047,5
209,-8.292965,-47.567123,-36.727497,66
210,-4.6246605,-99.763084,-19.808094,44
211,40.29388,56.643864,29.205593,75
212,15.246411,36.33814,92.18084,54
213,21.51994,-63.86713,0.29074448,27
214,-50.72797,46.974365,-6.678557,19
215,-11.062269,76.17604,16.445103,9
216,-38.602753,9.849987,-81.16853,-1
217,22.93253,-14.240312,-54.97762,14
218,55.951534,2.024709,-71.49216,76
219,-57.757942,54.75872,-29.11012,19
220,26.888859,-83.09705,4.565623,46
221,-18.437483,53.918427,-21.683725,31
222,32.96684,62.435593,36.090412,75
223,54.222004,33.697353,6.1740503,77
224,-28.178364,13.086123,-33.137745,65
225,68.83156,-54.453377,-17.069931,29
226,28.689777,-43.312397,-0.58855563,27
227,3.7744513,-8.272522,-48.772926,78
228,73.29581,49.27481,46.73656,-1
229,67.47857,-6.412456,24.148405,21
230,47.236656,-15.9947405,51.76117,-1
231,22.95841,-28.996252,-44.1751,79
232,-31.829683,-42.65065,48.62791,-1
233,-7.0158954,-51.032665,-42.413788,66
234,51.212536,54.22695,-23.263485,23
235,11.598212,-59.694004,-39.833378,-1
236,75.00327,14.571545,25.204264,39
237,12.900153,-21.265015,-42.62382,42
238,53.23403,-32.693657,48.83494,80
239,74.74759,31.542593,-52.978256,16
240,63.307796,-37.543854,18.154417,81
241,-16.82103,-26.498104,-49.771797,22
242,16.405596,30.781599,-77.88365,15
243,-31.217062,24.045897,39.259274,82
244,38.782555,58.090534,44.07846,75
245,-20.621796,-41.241283,7.171843,17
246,-72.96397,3.444884,-35.52105,6
247,-7.404851,1.3879408,79.41174,100
248,-19.918709,-7.8191385,40.259235,-1
249,-29.928322,-16.495932,70.894455,63
250,-22.04198,42.655716,-16.702366,104
251,0.46412626,-68.48653,-80.69908,83
252,25.375877,11.211937,63.5668,-1
253,29.848377,-94.70228,8.078704,46
254,58.651447,70.24223,-27.735233,23
255,-8.859012,68.346725,-15.826141,31
256,48.530277,-53.057343,26.93184,84
257,30.127272,69.12512,3.6879401,85
258,3.7891276,17.343515,-32.951298,35
259,-0.838124,-0.32741505,-0.13211653,116
260,-15.044545,-52.31661,47.181496,53
261,-71.3776,19.941313,-39.090553,6
262,-55.48159,22.910128,-43.662006,6
263,84.947136,32.435192,-17.948587,45
264,-15.695257,29.301506,30.140554,8
265,-27.128696,-7.128108,-85.25894,124
266,35.827633,-11.995219,48.800537,73
267,79.911415,28.177994,-19.5312,45
268,-11.699392,-40.44588,52.53751,53
269,-73.93769,13.4262905,-40.267025,6
270,-19.870104,14.797878,91.276955,86
271,-30.91434,-6.832364,-80.27402,124
272,-40.99573,-56.630074,16.347033,-1
273,32.396374,-30.354126,21.948221,87
274,-12.447255,-65.95,69.99778,53
275,77.43822,40.7544,21.554092,72
276,-3.0978215,-49.932056,19.398232,-1
277,10.773728,-10.768096,-20.597446,88
278,-4.589624,17.581522,77.492065,-1
279,47.798344,50.120266,-56.909805,-1
280,-6.098248,6.4331946,67.74663,-1
281,30.817396,-31.745634,57.051434,89
282,-21.156073,92.30455,28.238665,9
283,6.2386518,93.01053,-8.488402,62
284,-20.579893,-55.40019,52.705166,53
285,-39.752277,14.765146,14.80084,-1
286,-1.06586,-30.272251,1.3359666,51
287,-78.36587,14.747939,-48.771946,6
288,-22.664267,76.06307,7.0529895,9
289,29.848377,-94.70228,8.078704,46
290,-19.97191,22.860441,76.40743,86
291,-26.95083,-16.047869,102.67199,37
292,56.62387,-32.229042,-55.709743,90
293,8.043843,-27.57937,32.496,91
294,62.451523,-7.6019216,19.79359,21
295,11.601878,56.90119,38.222862,-1
296,34.077282,-40.449078,-50.588326,58
297,-1.5049785,-39.711445,41.090893,-1
298,7.909986,71.47368,12.353713,24
299,-64.25086,15.26224,-29.048569,6
300,28.96075,-63.8419,14.131883,27
301,-2.45193,-34.53723,-23.24668,92
302,11.641362,20.94147,-26.21047,-1
303,37.0824,35.939777,22.879192,41
304,-19.751858,32.21663,80.202576,86
305,-31.486809,-97.95058,6.238331,93
306,33.48287,57.103313,35.540848,75
307,54.912216,-48.686493,23.247358,84
308,62.125267,-47.079742,-13.164239,29
309,8.601294,-12.793761,1.8944465,94
310,-25.077074,-51.425613,53.540127,53
311,-50.535606,5.095092,-45.17944,6
312,-29.282787,-80.0052,-17.631,111
313,-19.734993,66.475464,66.71259,0
314,36.495537,-33.479443,29.756638,87
315,-59.022255,-33.329014,10.238615,64
316,15.420372,20.359623,-90.15529,15
317,-12.266096,-26.647837,-0.14242837,51
318,-13.894327,76.19588,22.725739,9
319,35.256416,16.778519,-29.931757,95
320,-50.62266,63.5309,-7.6203833,19
321,33.95423,-89.11606,16.029865,46
322,59.900898,-16.81901,51.924797,61
323,6.7150335,99.71079,20.922226,96
324,49.440956,-63.498756,32.993935,84
325,-24.957054,-60.89721,58.66893,53
326,-20.413095,-12.376106,102.136246,37
327,19.565643,77.9074,-28.58587,28
328,25.765905,44.809258,-24.646202,25
329,-34.222374,34.028435,-66.15472,18
330,9.297375,21.606125,-91.64271,15
331,-13.60202,-27.317884,21.675072,51
